pcd2,lsoa21
AB24,S01013618
AB24,S01013619
AB24,S01013620
AB24,S01013621
AB24,S01013622
AB24,S01013623
AB24,S01013624
AB24,S01013625
AB24,S01013632
AB24,S01013633
AB24,S01013634
AB24,S01013638
AB24,S01013639
AB24,S01013640
AB24,S01013641
AB24,S01013642
AB24,S01013643
AB24,S01013644
AB24,S01013645
AB24,S01013646
AB24,S01013647
AB24,S01013648
AB24,S01013649
AB24,S01013650
AB24,S01013651
AB24,S01013652
AB24,S01013653
AB24,S01013654
AB24,S01013655
AB24,S01013656
AB24,S01013657
AB24,S01013658
AB24,S01013659
AB24,S01013660
AB24,S01013661
AB24,S01013662
AB24,S01013663
AB24,S01013664
AB24,S01013665
AB24,S01013666
AB24,S01013667
AB24,S01013668
AB24,S01013669
AB24,S01013670
AB24,S01013671
AB24,S01013672
AB24,S01013673
AB24,S01013674
AB24,S01013675
AB24,S01013676
AB24,S01013678
AB24,S01013709
AB25,S01013537
AB25,S01013538
AB25,S01013539
AB25,S01013540
AB25,S01013542
AB25,S01013543
AB25,S01013544
AB25,S01013545
AB25,S01013546
AB25,S01013547
AB25,S01013548
AB25,S01013549
AB25,S01013550
AB25,S01013563
AB25,S01013565
AB25,S01013568
AB25,S01013623
AB25,S01013626
AB25,S01013627
AB25,S01013628
AB25,S01013629
AB25,S01013630
AB25,S01013631
AB25,S01013632
AB25,S01013633
AB25,S01013634
AB25,S01013635
AB25,S01013636
AB25,S01013637
AB25,S01013638
AB25,S01013642
AB25,S01013674
AB25,S01013675
AB25,S01013677
AB25,S01013683
AB3,S01013482
AB3,S01013488
AB3,S01013782
AB3,S01013783
AB3,S01013784
AB3,S01013785
AB3,S01013786
AB3,S01013787
AB3,S01013788
AB3,S01013789
AB3,S01013790
AB3,S01013791
AB3,S01013792
AB3,S01013793
AB3,S01013794
AB3,S01013795
AB3,S01013796
AB3,S01013797
AB3,S01013798
AB3,S01013799
AB3,S01013801
AB3,S01013802
AB3,S01013806
AB3,S01013807
AB3,S01013808
AB3,S01013814
AB3,S01013815
AB3,S01013816
AB3,S01013817
AB3,S01013820
AB3,S01013821
AB3,S01013822
AB3,S01013823
AB3,S01013824
AB3,S01013825
AB3,S01013826
AB3,S01013827
AB3,S01013828
AB3,S01013829
AB3,S01013830
AB3,S01013831
AB3,S01013832
AB3,S01013833
AB3,S01013834
AB3,S01013835
AB3,S01013836
AB3,S01013837
AB3,S01013838
AB3,S01013839
AB3,S01013840
AB3,S01013856
AB3,S01013857
AB3,S01013858
AB3,S01013859
AB3,S01013860
AB3,S01013861
AB3,S01013862
AB3,S01013863
AB3,S01013864
AB3,S01013865
AB3,S01013866
AB3,S01013868
AB3,S01013869
AB3,S01013870
AB3,S01013871
AB3,S01013872
AB3,S01013873
AB3,S01013874
AB3,S01013875
AB3,S01013876
AB3,S01013877
AB3,S01013878
AB3,S01013879
AB3,S01013880
AB3,S01013881
AB3,S01013882
AB3,S01013883
AB3,S01013884
AB3,S01013885
AB3,S01013886
AB3,S01013887
AB3,S01013888
AB3,S01013889
AB3,S01013890
AB3,S01013936
AB3,S01013937
AB3,S01013938
AB3,S01013940
AB3,S01013941
AB3,S01013942
AB3,S01013943
AB3,S01013944
AB3,S01013945
AB3,S01013946
AB3,S01013947
AB3,S01013948
AB3,S01013949
AB3,S01013951
AB3,S01013952
AB3,S01013953
AB3,S01014017
AB3,S01014245
AB3,S01017707
AB3,S01018244
AB3,S01018245
AB3,S01018246
AB3,S01018249
AB3,S01018250
AB3,S01018251
AB3,S01018254
AB3,S01018256
AB30,S01013794
AB30,S01013795
AB30,S01013796
AB30,S01013797
AB30,S01013798
AB30,S01013799
AB30,S01013801
AB30,S01013802
AB30,S01013806
AB30,S01013807
AB30,S01013808
AB30,S01013814
AB30,S01014245
AB31,S01013482
AB31,S01013488
AB31,S01013790
AB31,S01013791
AB31,S01013793
AB31,S01013857
AB31,S01013858
AB31,S01013860
AB31,S01013862
AB31,S01013863
AB31,S01013864
AB31,S01013865
AB31,S01013866
AB31,S01013867
AB31,S01013868
AB31,S01013869
AB31,S01013870
AB31,S01013871
AB31,S01013872
AB31,S01013873
AB31,S01013874
AB31,S01013875
AB31,S01013876
AB31,S01013878
AB31,S01013879
AB32,S01013488
AB32,S01013859
AB32,S01013860
AB32,S01013935
AB32,S01013936
AB32,S01013937
AB32,S01013938
AB32,S01013939
AB32,S01013940
AB32,S01013941
AB32,S01013942
AB32,S01013943
AB32,S01013944
AB32,S01013945
AB32,S01013946
AB32,S01013947
AB32,S01013948
AB32,S01013949
AB32,S01013950
AB32,S01013951
AB32,S01013952
AB32,S01013953
AB33,S01013878
AB33,S01013879
AB33,S01013880
AB33,S01013883
AB33,S01013884
AB33,S01013885
AB33,S01013886
AB33,S01013888
AB33,S01013889
AB33,S01013890
AB33,S01014017
AB34,S01013785
AB34,S01013787
AB34,S01013788
AB34,S01013789
AB34,S01013790
AB34,S01013791
AB34,S01013792
AB34,S01013876
AB34,S01013877
AB34,S01013878
AB34,S01013881
AB35,S01013782
AB35,S01013783
AB35,S01013784
AB35,S01013785
AB35,S01013786
AB36,S01013784
AB37,S01017707
AB37,S01018244
AB37,S01018245
AB37,S01018250
AB38,S01018246
AB38,S01018249
AB38,S01018250
AB38,S01018251
AB38,S01018252
AB38,S01018253
AB38,S01018254
AB38,S01018256
AB38,S01018379
AB39,S01013814
AB39,S01013815
AB39,S01013816
AB39,S01013817
AB39,S01013818
AB39,S01013820
AB39,S01013821
AB39,S01013822
AB39,S01013823
AB39,S01013824
AB39,S01013825
AB39,S01013826
AB39,S01013827
AB39,S01013828
AB39,S01013829
AB39,S01013830
AB39,S01013831
AB39,S01013832
AB39,S01013833
AB39,S01013834
AB39,S01013835
AB39,S01013836
AB39,S01013837
AB39,S01013838
AB39,S01013839
AB39,S01013840
AB4,S01013627
AB4,S01013954
AB4,S01013960
AB4,S01013961
AB4,S01013962
AB4,S01013963
AB4,S01013964
AB4,S01013965
AB4,S01013966
AB4,S01013967
AB4,S01013968
AB4,S01013969
AB4,S01013972
AB4,S01013973
AB4,S01013974
AB4,S01013975
AB4,S01013976
AB4,S01013977
AB4,S01013978
AB4,S01013979
AB4,S01013980
AB4,S01013981
AB4,S01013982
AB4,S01013983
AB4,S01013984
AB4,S01013985
AB4,S01013986
AB4,S01013987
AB4,S01013988
AB4,S01013989
AB4,S01013990
AB4,S01013991
AB4,S01013992
AB4,S01013993
AB4,S01013994
AB4,S01014000
AB4,S01014005
AB4,S01014026
AB4,S01014035
AB4,S01014036
AB4,S01014037
AB4,S01014038
AB4,S01014039
AB4,S01014040
AB4,S01014041
AB4,S01014044
AB4,S01014045
AB4,S01014046
AB4,S01014047
AB4,S01014048
AB4,S01014049
AB4,S01014050
AB4,S01014051
AB4,S01014052
AB4,S01014053
AB4,S01014055
AB4,S01014056
AB4,S01014057
AB4,S01014058
AB4,S01014059
AB4,S01014061
AB4,S01014062
AB4,S01014063
AB4,S01014064
AB4,S01014065
AB4,S01014066
AB4,S01014067
AB4,S01014068
AB4,S01014069
AB4,S01014070
AB4,S01014071
AB4,S01014072
AB4,S01014073
AB4,S01014074
AB4,S01014075
AB4,S01014076
AB4,S01014077
AB4,S01014078
AB4,S01014079
AB4,S01014080
AB4,S01014081
AB4,S01014082
AB4,S01014083
AB4,S01014084
AB4,S01014085
AB4,S01014086
AB4,S01014087
AB4,S01014088
AB4,S01014089
AB4,S01014090
AB4,S01014091
AB4,S01014092
AB4,S01014093
AB4,S01014094
AB4,S01014095
AB4,S01014096
AB4,S01014097
AB4,S01014098
AB4,S01014099
AB4,S01014100
AB4,S01014101
AB4,S01014103
AB4,S01014104
AB4,S01014105
AB4,S01014106
AB4,S01014107
AB4,S01014110
AB4,S01014112
AB4,S01014113
AB4,S01014114
AB4,S01014115
AB4,S01014116
AB4,S01014117
AB4,S01014118
AB4,S01014119
AB4,S01014120
AB4,S01014121
AB4,S01014122
AB4,S01014123
AB4,S01014124
AB4,S01014125
AB4,S01014126
AB4,S01014127
AB4,S01014128
AB4,S01014129
AB4,S01014130
AB4,S01014131
AB4,S01014132
AB4,S01014133
AB4,S01014134
AB4,S01014135
AB4,S01014136
AB4,S01014137
AB4,S01014138
AB4,S01014139
AB4,S01014140
AB4,S01014141
AB4,S01014142
AB4,S01014143
AB4,S01018265
AB41,S01013954
AB41,S01013967
AB41,S01013968
AB41,S01013969
AB41,S01013970
AB41,S01013971
AB41,S01013972
AB41,S01013973
AB41,S01013974
AB41,S01013975
AB41,S01013976
AB41,S01013977
AB41,S01013978
AB41,S01013979
AB41,S01013980
AB41,S01013981
AB41,S01013982
AB41,S01013983
AB41,S01013984
AB41,S01013985
AB41,S01013986
AB41,S01013987
AB41,S01013988
AB41,S01013989
AB41,S01013990
AB41,S01013991
AB41,S01013992
AB41,S01013993
AB41,S01013994
AB41,S01014000
AB41,S01014073
AB41,S01014074
AB41,S01014077
AB42,S01013974
AB42,S01013985
AB42,S01014029
AB42,S01014063
AB42,S01014064
AB42,S01014065
AB42,S01014068
AB42,S01014069
AB42,S01014070
AB42,S01014071
AB42,S01014072
AB42,S01014074
AB42,S01014075
AB42,S01014076
AB42,S01014077
AB42,S01014078
AB42,S01014079
AB42,S01014080
AB42,S01014081
AB42,S01014082
AB42,S01014083
AB42,S01014084
AB42,S01014085
AB42,S01014086
AB42,S01014087
AB42,S01014088
AB42,S01014089
AB42,S01014090
AB42,S01014091
AB42,S01014092
AB42,S01014093
AB42,S01014094
AB42,S01014095
AB42,S01014096
AB42,S01014097
AB42,S01014098
AB42,S01014099
AB42,S01014100
AB42,S01014101
AB42,S01014102
AB42,S01014103
AB42,S01014104
AB42,S01014105
AB42,S01014106
AB42,S01014107
AB42,S01014108
AB42,S01014109
AB42,S01014110
AB42,S01014111
AB42,S01014112
AB42,S01014113
AB42,S01014114
AB42,S01014116
